content	date	key
"{""age"":52,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":980170,""dimension_condition"":4,""coherence_condition"":90,""predictive_dim"":3,""predictive_idx"":1,""feature_positions"":""1_0_2_3"",""feature_dims"":""0_3_6_15_8_7_9_11_12_13_10_4_14_5_1_2"",""trial"":23,""block"":2,""block_trial"":3,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":2095,""button_value"":1,""completion_code"":94249}"	2017-08-11T14:03:38	4509387632672768
"{""age"":27,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":990539,""dimension_condition"":10,""coherence_condition"":90,""predictive_dim"":2,""predictive_idx"":0,""feature_positions"":""0_6_3_7_5_1_2_8_4_9"",""feature_dims"":""2_7_1_4_15_6_5_13_14_12_8_0_11_10_3_9"",""trial"":94,""block"":5,""block_trial"":14,""stim"":""1111111111"",""shuffled_stim"":""1111111111"",""label"":1,""rt"":1673,""button_value"":1,""completion_code"":48653}"	2017-08-11T14:44:18	4509785454018560
"{""age"":38,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":684897,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":4,""predictive_idx"":4,""feature_positions"":""9_7_2_5_0_3_1_6_4_8"",""feature_dims"":""12_0_3_6_4_7_10_15_13_14_1_5_8_2_11_9"",""trial"":25,""block"":2,""block_trial"":5,""stim"":""1101111010"",""shuffled_stim"":""0001111111"",""label"":1,""rt"":1645,""button_value"":1,""completion_code"":93463}"	2017-08-11T14:35:24	4511228563030016
"{""age"":32,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":647052,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":8,""predictive_idx"":8,""feature_positions"":""5_9_3_6_4_1_2_8_0_7"",""feature_dims"":""15_0_5_2_1_3_7_4_8_13_14_12_6_10_9_11"",""trial"":24,""block"":2,""block_trial"":4,""stim"":""1011100111"",""shuffled_stim"":""0110101111"",""label"":1,""rt"":1450,""button_value"":1,""completion_code"":31742}"	2017-08-11T15:30:33	4511869855334400
"{""age"":38,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":709828,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":7,""predictive_idx"":0,""feature_positions"":""0_2_3_9_8_7_5_1_6_4"",""feature_dims"":""7_5_15_14_4_10_2_6_12_1_13_8_3_9_11_0"",""trial"":29,""block"":2,""block_trial"":9,""stim"":""1000010000"",""shuffled_stim"":""1000001000"",""label"":0,""rt"":9090,""button_value"":0,""completion_code"":90945}"	2017-08-11T14:07:49	4512085409005568
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":861671,""dimension_condition"":16,""coherence_condition"":80,""predictive_dim"":4,""predictive_idx"":11,""feature_positions"":""15_6_10_11_4_2_14_7_9_3_1_0_13_12_8_5"",""feature_dims"":""7_6_5_12_10_2_14_1_11_0_15_4_9_3_8_13"",""trial"":79,""block"":4,""block_trial"":19,""stim"":""0000000000000000"",""shuffled_stim"":""0000000000000000"",""label"":0,""rt"":2968,""button_value"":0,""completion_code"":36739}"	2017-08-11T13:58:20	4512162986852352
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":426989,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":4,""predictive_idx"":1,""feature_positions"":""2_0_1_3"",""feature_dims"":""1_4_15_5_12_9_3_11_10_14_0_2_13_6_8_7"",""trial"":43,""block"":3,""block_trial"":3,""stim"":""1000"",""shuffled_stim"":""0100"",""label"":0,""rt"":1109,""button_value"":0,""completion_code"":14359}"	2017-08-11T13:57:26	4512505510494208
"{""age"":47,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":601984,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":7,""predictive_idx"":4,""feature_positions"":""8_1_4_6_0_7_9_2_5_3"",""feature_dims"":""6_1_3_8_7_10_15_5_2_0_4_14_11_12_13_9"",""trial"":11,""block"":1,""block_trial"":11,""stim"":""1010000000"",""shuffled_stim"":""0000100100"",""label"":0,""rt"":1372,""button_value"":1,""completion_code"":54526}"	2017-08-11T15:03:41	4512614495289344
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":276148,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":12,""predictive_idx"":3,""feature_positions"":""1_9_6_0_2_3_5_4_7_8"",""feature_dims"":""11_10_2_12_13_5_15_0_3_4_9_6_8_7_14_1"",""trial"":61,""block"":4,""block_trial"":1,""stim"":""0001011101"",""shuffled_stim"":""0110011010"",""label"":0,""rt"":4065,""button_value"":1,""completion_code"":98117}"	2017-08-11T14:18:16	4512952723963904
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":252050,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":8,""predictive_idx"":2,""feature_positions"":""2_3_0_1"",""feature_dims"":""10_14_8_12_2_3_11_9_0_15_5_7_4_6_13_1"",""trial"":7,""block"":1,""block_trial"":7,""stim"":""0110"",""shuffled_stim"":""1001"",""label"":0,""rt"":2297,""button_value"":1,""completion_code"":14643}"	2017-08-11T14:13:03	4514173299982336
