content	date	key
"{""age"":24,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":426210,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":11,""predictive_idx"":2,""feature_positions"":""3_2_0_1"",""feature_dims"":""8_9_11_14_10_4_7_0_15_6_13_2_1_5_3_12"",""trial"":1,""block"":1,""block_trial"":1,""stim"":""1100"",""shuffled_stim"":""0011"",""label"":1,""rt"":2307,""button_value"":0,""completion_code"":68812}"	2017-08-10T18:50:37	4512162986852352
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":171098,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":8,""predictive_idx"":2,""feature_positions"":""6_4_0_5_8_9_3_2_7_1"",""feature_dims"":""13_15_8_0_12_11_5_4_6_10_14_2_3_9_1_7"",""trial"":50,""block"":3,""block_trial"":10,""stim"":""0010000000"",""shuffled_stim"":""0000000100"",""label"":0,""rt"":1420,""button_value"":0,""completion_code"":94264}"	2017-08-10T19:37:59	4512269153075200
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":735906,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":13,""predictive_idx"":2,""feature_positions"":""2_1_0_3"",""feature_dims"":""6_11_13_8_14_5_1_10_4_15_3_0_7_9_2_12"",""trial"":88,""block"":5,""block_trial"":8,""stim"":""1010"",""shuffled_stim"":""1010"",""label"":1,""rt"":1117,""button_value"":1,""completion_code"":66460}"	2017-08-10T19:17:16	4512952723963904
"{""age"":31,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":457913,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":12,""predictive_idx"":1,""feature_positions"":""2_0_1_3"",""feature_dims"":""15_12_10_5_14_2_13_9_11_1_6_3_0_4_8_7"",""trial"":77,""block"":4,""block_trial"":17,""stim"":""0010"",""shuffled_stim"":""1000"",""label"":0,""rt"":1000,""button_value"":0,""completion_code"":72561}"	2017-08-10T22:33:02	4513769036185600
"{""age"":23,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":854232,""dimension_condition"":4,""structure_condition"":""intermediate"",""predictive_dim"":11,""predictive_idx"":1,""feature_positions"":""2_0_3_1"",""feature_dims"":""2_11_3_12_7_10_0_13_4_5_1_6_15_14_9_8"",""trial"":33,""block"":2,""block_trial"":13,""stim"":""0000"",""shuffled_stim"":""0000"",""label"":0,""rt"":2472,""button_value"":0,""completion_code"":58531}"	2017-08-10T19:05:21	4514173299982336
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":523528,""dimension_condition"":4,""structure_condition"":""intermediate"",""predictive_dim"":1,""predictive_idx"":0,""feature_positions"":""0_1_2_3"",""feature_dims"":""1_15_9_0_4_10_13_12_5_11_7_3_2_8_14_6"",""trial"":38,""block"":2,""block_trial"":18,""stim"":""1101"",""shuffled_stim"":""1101"",""label"":1,""rt"":1260,""button_value"":1,""completion_code"":59906}"	2017-08-10T19:03:14	4514573000376320
"{""age"":28,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":609175,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":13,""predictive_idx"":7,""feature_positions"":""9_8_11_15_4_5_3_0_12_13_6_14_10_2_7_1"",""feature_dims"":""3_1_7_8_4_10_2_13_9_0_5_6_14_15_12_11"",""trial"":53,""block"":3,""block_trial"":13,""stim"":""1111111011111111"",""shuffled_stim"":""1111111111111101"",""label"":1,""rt"":1285,""button_value"":1,""completion_code"":19027}"	2017-08-10T20:29:39	4515194428456960
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":745200,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":10,""predictive_idx"":8,""feature_positions"":""6_8_7_2_3_9_4_1_0_5"",""feature_dims"":""4_7_1_2_8_3_6_14_10_11_5_12_15_13_0_9"",""trial"":16,""block"":1,""block_trial"":16,""stim"":""0001000000"",""shuffled_stim"":""0000100000"",""label"":0,""rt"":881,""button_value"":0,""completion_code"":46454}"	2017-08-10T18:57:54	4515385017630720
"{""age"":40,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":3047,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":13,""predictive_idx"":1,""feature_positions"":""2_0_3_1"",""feature_dims"":""9_13_6_12_3_7_2_11_14_15_1_8_4_0_10_5"",""trial"":59,""block"":3,""block_trial"":19,""stim"":""0011"",""shuffled_stim"":""1010"",""label"":0,""rt"":1698,""button_value"":0,""completion_code"":11922}"	2017-08-10T18:52:26	4515436020367360
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":323685,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":2,""predictive_idx"":1,""feature_positions"":""1_0_2_3"",""feature_dims"":""12_2_0_8_15_10_14_7_13_6_11_1_4_3_9_5"",""trial"":8,""block"":1,""block_trial"":8,""stim"":""1001"",""shuffled_stim"":""0101"",""label"":1,""rt"":1994,""button_value"":1,""completion_code"":23606}"	2017-08-10T19:03:57	4516045100417024
"{""age"":26,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":78728,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":6,""predictive_idx"":3,""feature_positions"":""3_6_4_0_1_2_5_9_8_7"",""feature_dims"":""15_12_14_6_11_9_3_4_13_7_2_0_1_10_8_5"",""trial"":1,""block"":1,""block_trial"":1,""stim"":""0101100100"",""shuffled_stim"":""1010100001"",""label"":0,""rt"":1460,""button_value"":0,""completion_code"":20232}"	2017-08-10T19:14:18	4516428426248192
"{""age"":69,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":58148,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":15,""predictive_idx"":8,""feature_positions"":""4_11_3_15_8_6_12_2_0_10_5_7_9_1_13_14"",""feature_dims"":""13_14_6_8_3_12_10_2_15_9_0_1_11_7_4_5"",""trial"":6,""block"":1,""block_trial"":6,""stim"":""1111110111111111"",""shuffled_stim"":""1111101111111111"",""label"":1,""rt"":1262,""button_value"":1,""completion_code"":37384}"	2017-08-10T19:29:30	4517063007666176
"{""age"":31,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":496875,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":3,""predictive_idx"":1,""feature_positions"":""2_0_3_1"",""feature_dims"":""6_3_5_4_15_1_8_11_7_2_13_10_9_14_12_0"",""trial"":63,""block"":4,""block_trial"":3,""stim"":""1010"",""shuffled_stim"":""1100"",""label"":1,""rt"":3151,""button_value"":0,""completion_code"":38659}"	2017-08-10T18:53:19	4517085824679936
